Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0805,2,22uF,
C3,0805,1,100n,
"D1, D2",0805,2,LED,
"H1, H2, H3, H4",MountingHole_2.2mm_M2_Pad,4,MountingHole,
J1,PinHeader_1x02_P2.54mm_Vertical,1,Vin,
J2,PinHeader_2x02_P2.54mm_Vertical,1,Conn_02x02_Odd_Even,
J3,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,Batt,
"JP1, JP2",SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,2,SolderJumper_2_Bridged,
"R1, R2",0805,2,1k,
R3,0805,1,10k,
R4,0805,1,20k,
"SW1, SW2",SW_SPST_B3U-1000P,2,SW_Push,
TP1,TestPoint_Pad_D1.5mm,1,GND,
TP2,TestPoint_Pad_D1.5mm,1,3.3V,
TP3,TestPoint_Pad_D1.5mm,1,UPDI,
TP4,TestPoint_Pad_D1.5mm,1,RX,
TP5,TestPoint_Pad_D1.5mm,1,TX,
U1,VQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm,1,ATtiny1616-M,
U2,Ai-Thinker-Ra-01-LoRa,1,Ai-Thinker-Ra-01,
U3,SOT-23-5,1,SPX3819M5-L-3-3,
