Designator,Mid X,Mid Y,Rotation,Layer
C1,79.375,-84.053,90.0,top
C2,76.647,-81.071,0.0,top
C3,78.375,-69.085,0.0,top
D1,70.859,-81.1475,90.0,top
D2,67.938,-81.1475,90.0,top
J1,75.819,-90.215,270.0,top
J2,69.215,-69.387,0.0,top
J3,83.201,-86.495,0.0,top
R1,70.859,-77.7825,270.0,top
R2,67.938,-77.7355,270.0,top
R3,81.915,-82.7455,90.0,top
R4,83.947,-82.7455,270.0,top
SW1,91.325,-59.385,90.0,top
SW2,91.325,-65.085,270.0,top
U1,78.725,-72.735,270.0,top
U2,79.525,-58.185,0.0,top
U3,76.2055,-83.865,180.0,top
